epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,4563.08,1.29307,0.89537,1.16448,0.80113,0.71832,0.77223,0.47845,1.32551,0.98067,1.20814,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4637.83,1.28598,0.87481,1.17699,0.82304,0.71104,0.77733,0.4771,1.34268,0.97204,1.22446,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4709.86,1.30818,0.87114,1.17026,0.84448,0.69424,0.7817,0.4744,1.35203,0.96241,1.23069,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4782.22,1.28913,0.85964,1.16121,0.85553,0.69529,0.77893,0.47657,1.34826,0.96674,1.22254,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4855.21,1.28441,0.86551,1.15369,0.81307,0.72775,0.7889,0.48816,1.32808,0.96217,1.20385,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4929.09,1.27017,0.87065,1.16258,0.82075,0.73836,0.79194,0.48377,1.33958,0.95288,1.21828,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5001.06,1.27436,0.87951,1.16835,0.83567,0.71885,0.79118,0.485,1.32394,0.95104,1.2142,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5073.42,1.26082,0.83432,1.15483,0.83405,0.73613,0.78453,0.48091,1.33154,0.94261,1.21986,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5144.66,1.22204,0.80064,1.13173,0.82264,0.74555,0.79228,0.48222,1.33198,0.93972,1.22002,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5216.56,1.23913,0.81509,1.13855,0.81715,0.74136,0.79425,0.484,1.35233,0.95311,1.23358,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5288.81,1.25589,0.79809,1.15475,0.80712,0.73194,0.78364,0.48072,1.35188,0.95467,1.22689,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5361.04,1.24652,0.82626,1.15395,0.82879,0.72487,0.78481,0.47971,1.33869,0.96202,1.22357,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5433.19,1.2489,0.82669,1.15907,0.8372,0.73233,0.78829,0.48453,1.34447,0.95747,1.2241,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5504.11,1.25058,0.82026,1.14012,0.8458,0.72565,0.79247,0.48156,1.33781,0.9453,1.21391,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,5576.11,1.2186,0.7852,1.12478,0.83764,0.74555,0.79367,0.48214,1.34041,0.93609,1.21594,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,5647.56,1.20514,0.79349,1.12306,0.84261,0.74557,0.79306,0.48079,1.34332,0.92377,1.21361,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,5720.08,1.1949,0.77448,1.11075,0.84854,0.74136,0.79741,0.48681,1.34443,0.91557,1.20435,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,5791.68,1.22666,0.79968,1.12893,0.81536,0.75371,0.79285,0.48483,1.3388,0.91541,1.21067,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,5863.21,1.21809,0.79692,1.12555,0.82951,0.73717,0.79165,0.48543,1.34056,0.90789,1.21681,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5935.37,1.17896,0.76783,1.10809,0.83268,0.75039,0.79285,0.49075,1.3344,0.90389,1.21539,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,6007.31,1.20456,0.75431,1.12702,0.84879,0.7347,0.79822,0.49138,1.3337,0.90994,1.21579,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6078.98,1.18356,0.75198,1.10986,0.86801,0.72461,0.79526,0.48796,1.3414,0.91188,1.22022,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
